16 1106 4281
0 0 -385.99 387.12
1 0 -38.44 492.12
2 0 -667.92 123.11
7 0 -599.18 407.93
12 0 -720.43 314.34
13 0 -115.13 55.48999
0 1 -536.52 287.7
1 1 -203.52 433.3
7 1 -744.57 282.44
13 1 -243.53 -37.73999
15 1 -799.69 458.79
0 2 -107.8 509.75
1 2 267.8101 545.69
2 2 -393.25 271.26
3 2 -520.56 -59.33002
5 2 299.72 -140.23
7 2 -334.1 567.11
8 2 -243.81 204.96
11 2 51.04999 -258.45
12 2 -423.62 505.52
0 3 -41.65002 5.609985
1 3 126.54 45.42999
2 3 84.04999 2.940002
3 3 -1.890015 -309.19
7 3 -131.57 109.42
8 3 99.83002 -42.60999
15 3 -90.90997 139.14
0 4 593.28 156.15
1 4 871.48 -2.419983
2 4 490.13 134.41
3 4 352.8 -179.2
6 4 404.59 309.25
8 4 461.87 82.48001
9 4 280 211.7
10 4 582.77 386.13
12 4 489.6801 317.81
13 4 796.3 -61.35999
0 5 -428.86 397.79
1 5 -76.72998 512.49
2 5 -718.85 133.84
7 5 -646.59 413.84
8 5 -508.15 90.78
10 5 -654.21 576.49
12 5 -776.57 320.5
14 5 -108.09 -349.44
0 6 1.669983 491.52
1 6 376.9 500.03
2 6 -289.24 249.73
3 6 -420.16 -81.37
4 6 9.349976 -360.15
5 6 405.9 -158.94
6 6 -475.35 509.55
7 6 -224.2 558.8
8 6 -158.26 189.8
9 6 -396.66 281.27
11 6 149.11 -271.37
12 6 -300.81 497.99
0 7 371.04 512
1 7 787.84 427.77
2 7 32.57001 277.73
5 7 775.48 -126.32
6 7 -83.91 611.71
8 7 108.63 218.61
9 7 -125.03 316.4
11 7 483.4301 -235.78
12 7 78.19 572.5
14 7 674.74 -205.67
0 8 136.07 20.83002
1 8 297.5601 9.580017
2 8 283.4399 81.82001
3 8 184.16 -228.25
4 8 -275.05 -522.09
6 8 111.94 87.96002
7 8 48.56 157.58
8 8 264.11 19.95001
10 8 61.84998 179.26
12 8 132.17 138.63
13 8 491.89 -191.61
15 8 146.59 184.22
0 9 21.70001 468.15
1 9 391.97 470.51
2 9 -268.18 224.09
3 9 -400.73 -106.94
4 9 -3.909973 -370.63
5 9 425.41 -181.63
6 9 -448.6 485.68
7 9 -201.86 537.32
8 9 -141.23 170.21
9 9 -377.72 259.57
11 9 167.71 -291.5
12 9 -275.57 475.28
13 9 207.91 144.49
14 9 334.92 -267.62
0 10 216.22 -11.94
1 10 369.12 -47.21002
2 10 366.0601 60.70001
3 10 261.33 -246.76
7 10 131.12 137.56
12 10 229.13 119.26
13 10 562.79 -214.14
15 10 260.99 150.53
0 11 55.87 87.47
1 11 242.11 98.70999
2 11 171.48 117.72
3 11 74.65997 -196.57
4 11 -219.59 -456.89
6 11 -6.23999 131.89
8 11 173.12 51.48999
10 11 -39.71002 249.52
12 11 16.47998 185.2
13 11 409.6899 -143.26
15 11 29.78003 264.25
0 12 -6.419983 474.93
1 12 364.3 485.32
2 12 -295.37 231.19
5 12 397.21 -176.23
6 12 -481.45 487.16
7 12 -229.9 541.47
8 12 -163.31 175.42
9 12 -401.32 264.69
11 12 142.67 -285.66
12 12 -306.45 477.93
0 13 66.96002 64.01001
1 13 244.71 72.14001
2 13 192.15 103.27
3 13 96.91998 -210.78
4 13 -236.4 -465.58
5 13 711.8101 -595.54
6 13 16.45001 111.46
7 13 -29 188.16
8 13 190.35 38.17001
9 13 47.46997 177.56
10 13 -22.73999 222.21
12 13 36.44 165.04
13 13 423.49 -161.31
15 13 47.35999 233.69
0 14 138.87 185.77
1 14 368.9399 169.09
2 14 161.51 175.98
3 14 55.17999 -143.92
7 14 8.820007 310.03
10 14 48.94 372.7
13 14 441.05 -61.33002
14 14 632.86 -541.5
